id,cave,keywords,_details,_creator,_publisher,_publication_year,_rights,_link
Sasera_7_-_-,Sasera,"papua, kaimana, Mensch unbestimmbar",fragliche Belege,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3889
Betunis_4_1_2_1_2,Betunis,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3890
Duduru_1_1_2_1_4,Duduru,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3891
Mampoga_10_8_6_7,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3893
Mampoga_1_12_15_4_8,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3894
Mampoga_2-3_-_-,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3895
Mampoga_4_4_5_6,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3896
Mampoga_4_6_7,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3897
Mampoga_7_5_6_2_4,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3898
Mampoga_7_5_6_4_7,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3899
Mampoga_8_16_17_9_11,Mampoga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3900
Manga_3_7_8_4_6,Manga,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3901
Matutuo_Tanjung_______________1_23_25_11_12,Matutuo Tanjung,"papua, berau, Mensch unbestimmbar",Mensch vollständig sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3905
Hatulua_1_1_3_1_5,Hatulua,"seram, selaeman, Mischwesen",fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3907
Saramau_2_-_-,Saramau,"papua, kaimana, Mischwesen",fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3908
